subject,session,split_type,split,fs_method,model,y_true,y_pred,y_prob
A01,session1,intra_session,train,pca_32,nn_erm,0,0,"[0.9874366521835327, 0.009953172877430916, 9.576515731168911e-05, 0.0025143446400761604]"
A01,session1,intra_session,train,pca_32,nn_erm,1,1,"[0.0012422837316989899, 0.994707465171814, 0.0001850099943112582, 0.0038652210496366024]"
A01,session1,intra_session,train,pca_32,nn_erm,3,3,"[0.0009758298401720822, 0.0006848199991509318, 0.0067792851477861404, 0.9915600419044495]"
A01,session1,intra_session,train,pca_32,nn_erm,3,3,"[0.0009741506655700505, 0.0008988060872070491, 0.0030024489387869835, 0.9951245188713074]"
A01,session1,intra_session,train,pca_32,nn_erm,2,2,"[0.011409606784582138, 0.016662269830703735, 0.9691374897956848, 0.0027905378956347704]"
A01,session1,intra_session,train,pca_32,nn_erm,0,0,"[0.9865525364875793, 0.012594970874488354, 5.8697642089100555e-05, 0.000793781946413219]"
A01,session1,intra_session,train,pca_32,nn_erm,3,3,"[0.004613540135324001, 0.0007561213569715619, 0.019687311723828316, 0.9749430418014526]"
A01,session1,intra_session,train,pca_32,nn_erm,3,3,"[0.00028290797490626574, 0.0007251137867569923, 0.03365679085254669, 0.9653351306915283]"
A01,session1,intra_session,train,pca_32,nn_erm,1,1,"[0.0038472518790513277, 0.9928516745567322, 0.0029006036929786205, 0.00040044766501523554]"
A01,session1,intra_session,train,pca_32,nn_erm,3,3,"[8.182258898159489e-05, 2.8265509172342718e-05, 0.004537635017186403, 0.9953522682189941]"
A01,session1,intra_session,train,pca_32,nn_erm,3,3,"[0.009064101614058018, 0.0017958434764295816, 0.021763388067483902, 0.9673765897750854]"
A01,session1,intra_session,train,pca_32,nn_erm,1,1,"[0.022120852023363113, 0.9777982234954834, 2.512692844902631e-05, 5.5883538152556866e-05]"
A01,session1,intra_session,train,pca_32,nn_erm,0,0,"[0.9791942238807678, 0.020781297236680984, 9.746509022079408e-06, 1.4769696463190485e-05]"
A01,session1,intra_session,train,pca_32,nn_erm,1,1,"[0.007531460840255022, 0.9924061894416809, 3.328486855025403e-05, 2.908758688136004e-05]"
A01,session1,intra_session,train,pca_32,nn_erm,2,2,"[0.00025443543563596904, 0.003390260273590684, 0.9949479103088379, 0.0014073870843276381]"
A01,session1,intra_session,train,pca_32,nn_erm,2,2,"[0.0020953973289579153, 0.010174122639000416, 0.9858602285385132, 0.0018701836233958602]"
A01,session1,intra_session,train,pca_32,nn_erm,2,2,"[0.00016956578474491835, 0.00026371789863333106, 0.9963412880897522, 0.0032254052348434925]"
A01,session1,intra_session,train,pca_32,nn_erm,3,3,"[0.0002296778402524069, 3.4258155210409313e-05, 0.009840461425483227, 0.9898955821990967]"
A01,session1,intra_session,train,pca_32,nn_erm,2,2,"[0.008881783112883568, 0.006936749443411827, 0.9790640473365784, 0.005117419175803661]"
A01,session1,intra_session,train,pca_32,nn_erm,0,0,"[0.9783490300178528, 0.021004971116781235, 0.0006026143091730773, 4.34125613537617e-05]"
A01,session1,intra_session,train,pca_32,nn_erm,3,3,"[0.0036971468944102526, 2.354172283958178e-05, 0.013283828273415565, 0.9829954504966736]"
A01,session1,intra_session,train,pca_32,nn_erm,1,1,"[0.005807144101709127, 0.9883939027786255, 0.005688464269042015, 0.00011040239769499749]"
A01,session1,intra_session,train,pca_32,nn_erm,2,2,"[0.017797159031033516, 0.0009263114770874381, 0.9629154205322266, 0.018361151218414307]"
A01,session1,intra_session,train,pca_32,nn_erm,1,1,"[0.005301325581967831, 0.9942157864570618, 0.00039781731902621686, 8.504366269335151e-05]"
A01,session1,intra_session,train,pca_32,nn_erm,2,2,"[0.0009469123324379325, 0.010603110305964947, 0.9771435260772705, 0.011306469328701496]"
A01,session1,intra_session,train,pca_32,nn_erm,3,3,"[4.400921170599759e-06, 2.8738402306771604e-06, 0.004919962491840124, 0.9950727820396423]"
A01,session1,intra_session,train,pca_32,nn_erm,1,1,"[0.01886698603630066, 0.9801487326622009, 0.0003416845283936709, 0.0006425143219530582]"
A01,session1,intra_session,train,pca_32,nn_erm,2,2,"[0.005472969263792038, 0.0178151223808527, 0.9699539542198181, 0.0067579601891338825]"
A01,session1,intra_session,train,pca_32,nn_erm,0,0,"[0.9964537620544434, 0.0018110350938513875, 0.0012928079813718796, 0.0004424832877703011]"
A01,session1,intra_session,train,pca_32,nn_erm,0,0,"[0.9879768490791321, 0.011961248703300953, 5.700057954527438e-05, 4.944210104440572e-06]"
A01,session1,intra_session,train,pca_32,nn_erm,0,0,"[0.9608100652694702, 0.03812973573803902, 0.0010252129286527634, 3.494975680951029e-05]"
A01,session1,intra_session,train,pca_32,nn_erm,3,3,"[0.0001237813849002123, 9.03721866052365e-06, 0.003916317597031593, 0.9959508180618286]"
A01,session1,intra_session,train,pca_32,nn_erm,1,1,"[0.0027761671226471663, 0.995114803314209, 0.0019479267066344619, 0.00016111366858240217]"
A01,session1,intra_session,train,pca_32,nn_erm,0,0,"[0.9984612464904785, 0.0014895767671987414, 2.5811882551352028e-06, 4.6606397518189624e-05]"
A01,session1,intra_session,train,pca_32,nn_erm,2,2,"[0.0054605137556791306, 0.00015442364383488894, 0.9546775817871094, 0.03970745950937271]"
A01,session1,intra_session,train,pca_32,nn_erm,0,0,"[0.9788846969604492, 0.020919598639011383, 0.00011073972564190626, 8.502823766320944e-05]"
A01,session1,intra_session,train,pca_32,nn_erm,2,2,"[0.0009266193374060094, 3.9344904507743195e-05, 0.9883765578269958, 0.010657565668225288]"
A01,session1,intra_session,train,pca_32,nn_erm,1,1,"[0.00010176956129726022, 0.999879002571106, 1.884613448055461e-05, 3.3700644053169526e-07]"
A01,session1,intra_session,train,pca_32,nn_erm,3,3,"[0.0005385324475355446, 8.808558504824759e-07, 0.00040960460319183767, 0.999051034450531]"
A01,session1,intra_session,train,pca_32,nn_erm,0,0,"[0.9886259436607361, 0.010923624038696289, 7.842692139092833e-05, 0.00037209183210507035]"
A01,session1,intra_session,train,pca_32,nn_erm,2,2,"[0.0011353319277986884, 0.00012161674385424703, 0.9902055859565735, 0.00853743590414524]"
A01,session1,intra_session,train,pca_32,nn_erm,2,2,"[2.2797361452830955e-05, 2.637906618474517e-06, 0.9996423721313477, 0.00033223835634998977]"
A01,session1,intra_session,train,pca_32,nn_erm,0,0,"[0.9788980484008789, 0.019504813477396965, 0.000462945579783991, 0.0011342697544023395]"
A01,session1,intra_session,train,pca_32,nn_erm,2,2,"[0.00013922264042776078, 2.4073162876447896e-06, 0.983018159866333, 0.01684018410742283]"
A01,session1,intra_session,train,pca_32,nn_erm,1,1,"[0.022161848843097687, 0.9768158197402954, 0.00041102891555055976, 0.0006113736308179796]"
A01,session1,intra_session,train,pca_32,nn_erm,3,3,"[0.00021519421716220677, 1.0818858982020174e-06, 0.005400157533586025, 0.9943835735321045]"
A01,session1,intra_session,train,pca_32,nn_erm,3,3,"[9.31579852476716e-05, 4.476545200304827e-06, 0.0031462283805012703, 0.9967561364173889]"
A01,session1,intra_session,train,pca_32,nn_erm,3,3,"[2.4747765564825386e-05, 4.4185489400661027e-07, 6.258083158172667e-05, 0.9999121427536011]"
A01,session1,intra_session,train,pca_32,nn_erm,2,2,"[0.0007080700597725809, 0.00012862164294347167, 0.9854873418807983, 0.013675984926521778]"
A01,session1,intra_session,train,pca_32,nn_erm,0,0,"[0.9527112245559692, 0.04572272300720215, 0.0015074820257723331, 5.861081081093289e-05]"
A01,session1,intra_session,train,pca_32,nn_erm,3,3,"[1.3550207768275868e-05, 7.808091027072805e-07, 0.007697980385273695, 0.9922876358032227]"
A01,session1,intra_session,train,pca_32,nn_erm,1,1,"[0.010271373204886913, 0.9887214303016663, 0.0007802431937307119, 0.00022695297957397997]"
A01,session1,intra_session,train,pca_32,nn_erm,3,3,"[0.010894522070884705, 0.0006703881663270295, 0.014366019517183304, 0.9740691184997559]"
A01,session1,intra_session,train,pca_32,nn_erm,1,1,"[0.03725757822394371, 0.9614752531051636, 0.0010584299452602863, 0.00020870969456154853]"
A01,session1,intra_session,train,pca_32,nn_erm,0,0,"[0.9694291353225708, 0.03034074977040291, 0.00013236149970907718, 9.778657113201916e-05]"
A01,session1,intra_session,train,pca_32,nn_erm,2,2,"[0.00038763435441069305, 0.0013672108761966228, 0.9759120345115662, 0.02233317121863365]"
A01,session1,intra_session,train,pca_32,nn_erm,1,1,"[0.005786310415714979, 0.991371750831604, 0.0007013384019955993, 0.0021406500600278378]"
A01,session1,intra_session,train,pca_32,nn_erm,0,0,"[0.9829846024513245, 0.006616179831326008, 0.008519448339939117, 0.0018798359669744968]"
A01,session1,intra_session,train,pca_32,nn_erm,2,2,"[0.0028629570733755827, 0.0003169625997543335, 0.9940350651741028, 0.002785041695460677]"
A01,session1,intra_session,train,pca_32,nn_erm,2,2,"[0.00019877626618836075, 0.00033018653630279005, 0.9823394417762756, 0.017131714150309563]"
A01,session1,intra_session,train,pca_32,nn_erm,0,0,"[0.9805359840393066, 0.018979212269186974, 0.00028708946774713695, 0.000197713787201792]"
A01,session1,intra_session,train,pca_32,nn_erm,2,2,"[0.0007513759192079306, 0.0002746583195403218, 0.9906710386276245, 0.008302981965243816]"
A01,session1,intra_session,train,pca_32,nn_erm,3,3,"[6.165088416310027e-05, 1.847594467108138e-05, 0.00953671894967556, 0.9903832077980042]"
A01,session1,intra_session,train,pca_32,nn_erm,3,3,"[3.923557960661128e-05, 0.006241478957235813, 0.016361713409423828, 0.9773576855659485]"
A01,session1,intra_session,train,pca_32,nn_erm,1,1,"[0.03904637694358826, 0.946435272693634, 0.0131884990260005, 0.0013298955745995045]"
A01,session1,intra_session,train,pca_32,nn_erm,0,0,"[0.9784983992576599, 0.00047249221825040877, 0.010928301140666008, 0.01010078750550747]"
A01,session1,intra_session,train,pca_32,nn_erm,1,1,"[0.004683180712163448, 0.9920489192008972, 0.0029845796525478363, 0.0002833208127412945]"
A01,session1,intra_session,train,pca_32,nn_erm,3,3,"[8.730206900509074e-05, 7.80945410951972e-05, 0.0033421015832573175, 0.9964925646781921]"
A01,session1,intra_session,train,pca_32,nn_erm,1,1,"[0.030139734968543053, 0.9687548279762268, 0.0007220430416055024, 0.0003833819937426597]"
A01,session1,intra_session,train,pca_32,nn_erm,3,3,"[3.61614947905764e-05, 4.874000296695158e-06, 0.00615518307313323, 0.9938037395477295]"
A01,session1,intra_session,train,pca_32,nn_erm,2,2,"[0.0006326564471237361, 0.0026971607003360987, 0.9714563488960266, 0.025213811546564102]"
A01,session1,intra_session,train,pca_32,nn_erm,1,1,"[0.006958821788430214, 0.9923856258392334, 0.0006469108629971743, 8.583152521168813e-06]"
A01,session1,intra_session,train,pca_32,nn_erm,1,1,"[0.003222056897357106, 0.9926750063896179, 0.002553024096414447, 0.0015499789733439684]"
A01,session1,intra_session,train,pca_32,nn_erm,1,1,"[0.025616364553570747, 0.969738245010376, 0.004553114529699087, 9.225910616805777e-05]"
A01,session1,intra_session,train,pca_32,nn_erm,2,2,"[5.192439130041748e-05, 1.0360662599850912e-05, 0.9772289991378784, 0.02270863950252533]"
A01,session1,intra_session,train,pca_32,nn_erm,3,3,"[0.00032438989728689194, 0.00030306499684229493, 0.03480314463376999, 0.9645693898200989]"
A01,session1,intra_session,train,pca_32,nn_erm,0,0,"[0.9688279032707214, 0.023729493841528893, 0.0018579942407086492, 0.005584651604294777]"
A01,session1,intra_session,train,pca_32,nn_erm,1,1,"[0.0062799169681966305, 0.992405116558075, 0.0012893364764750004, 2.5620860469643958e-05]"
A01,session1,intra_session,train,pca_32,nn_erm,3,3,"[0.0016483841463923454, 5.58924803044647e-05, 0.0077718826942145824, 0.9905238747596741]"
A01,session1,intra_session,train,pca_32,nn_erm,0,0,"[0.9999816417694092, 7.63774642109638e-06, 6.8335675678099506e-06, 3.935048425773857e-06]"
A01,session1,intra_session,train,pca_32,nn_erm,2,2,"[0.004947921261191368, 0.003377627581357956, 0.98294997215271, 0.008724505081772804]"
A01,session1,intra_session,train,pca_32,nn_erm,2,2,"[0.00033050597994588315, 0.00044579501263797283, 0.9952782392501831, 0.003945393022149801]"
A01,session1,intra_session,train,pca_32,nn_erm,3,3,"[0.0002016041544266045, 2.9533552151406184e-05, 0.00534043088555336, 0.9944285154342651]"
A01,session1,intra_session,train,pca_32,nn_erm,0,0,"[0.9968296885490417, 0.0020798996556550264, 0.0008881789981387556, 0.0002023115666816011]"
A01,session1,intra_session,train,pca_32,nn_erm,0,0,"[0.9730622172355652, 0.02547001838684082, 0.001083135837689042, 0.00038458933704532683]"
A01,session1,intra_session,train,pca_32,nn_erm,2,2,"[4.609492316376418e-05, 2.7334126571076922e-05, 0.9974742531776428, 0.002452237531542778]"
A01,session1,intra_session,train,pca_32,nn_erm,1,1,"[0.013025801628828049, 0.9866898059844971, 0.0002552935329731554, 2.908155511249788e-05]"
A01,session1,intra_session,train,pca_32,nn_erm,3,3,"[0.00025924600777216256, 0.00010719015699578449, 0.011363854631781578, 0.9882696866989136]"
A01,session1,intra_session,train,pca_32,nn_erm,3,3,"[3.1669526379118906e-06, 7.758609172014985e-06, 0.010524660348892212, 0.9894644021987915]"
A01,session1,intra_session,train,pca_32,nn_erm,3,3,"[0.0034567515831440687, 3.597833853064003e-08, 0.006354220677167177, 0.9901890158653259]"
A01,session1,intra_session,train,pca_32,nn_erm,1,1,"[0.005076250061392784, 0.9933632612228394, 0.0012418626574799418, 0.0003187112743034959]"
A01,session1,intra_session,train,pca_32,nn_erm,0,0,"[0.9722715020179749, 0.0012284527765586972, 0.011569519527256489, 0.01493050716817379]"
A01,session1,intra_session,train,pca_32,nn_erm,2,2,"[0.006775580812245607, 7.996450585778803e-05, 0.9834077954292297, 0.009736628271639347]"
A01,session1,intra_session,train,pca_32,nn_erm,1,1,"[0.007727616932243109, 0.9866853952407837, 0.005583231803029776, 3.721769189724e-06]"
A01,session1,intra_session,train,pca_32,nn_erm,3,3,"[0.0010110007133334875, 3.5132907783008704e-07, 0.014920050278306007, 0.9840685725212097]"
A01,session1,intra_session,train,pca_32,nn_erm,0,0,"[0.9711088538169861, 0.024707403033971786, 0.002290792064741254, 0.001892995205707848]"
A01,session1,intra_session,train,pca_32,nn_erm,3,3,"[0.0013436886947602034, 8.265930773632135e-06, 0.0076056537218391895, 0.9910423755645752]"
A01,session1,intra_session,train,pca_32,nn_erm,2,2,"[0.002906869864091277, 0.002022014232352376, 0.9621912837028503, 0.03287975490093231]"
A01,session1,intra_session,train,pca_32,nn_erm,1,1,"[0.06365574896335602, 0.9350594282150269, 0.0009600215125828981, 0.0003248603024985641]"
A01,session1,intra_session,train,pca_32,nn_erm,3,3,"[0.011245008558034897, 0.00010736295371316373, 1.026374775392469e-05, 0.988637387752533]"
A01,session1,intra_session,train,pca_32,nn_erm,3,3,"[2.844923255906906e-05, 0.0070113008841872215, 0.009065664373338223, 0.9838945269584656]"
A01,session1,intra_session,train,pca_32,nn_erm,0,0,"[0.991915225982666, 0.003160935128107667, 0.00021868351905141026, 0.004705177620053291]"
A01,session1,intra_session,train,pca_32,nn_erm,1,1,"[0.019642306491732597, 0.9796834588050842, 0.0006734128692187369, 8.619256277597742e-07]"
A01,session1,intra_session,train,pca_32,nn_erm,1,1,"[0.025814488530158997, 0.9569860100746155, 0.017041590064764023, 0.00015792361227795482]"
A01,session1,intra_session,train,pca_32,nn_erm,2,2,"[0.00031344930175691843, 0.00019176640489604324, 0.9960141181945801, 0.003480638610199094]"
A01,session1,intra_session,train,pca_32,nn_erm,3,3,"[0.007406862918287516, 3.3811254979809746e-05, 0.012500451877713203, 0.9800589680671692]"
A01,session1,intra_session,train,pca_32,nn_erm,1,1,"[0.0005638983566313982, 0.9963896870613098, 0.0025174373295158148, 0.0005288664251565933]"
A01,session1,intra_session,train,pca_32,nn_erm,0,0,"[0.9724156856536865, 0.02077430486679077, 0.005333896726369858, 0.00147616071626544]"
A01,session1,intra_session,train,pca_32,nn_erm,0,0,"[0.9449408054351807, 0.03521864116191864, 0.008571409620344639, 0.011269128881394863]"
A01,session1,intra_session,train,pca_32,nn_erm,3,3,"[0.0009124197531491518, 2.6591180358082056e-05, 0.01242789812386036, 0.9866330623626709]"
A01,session1,intra_session,train,pca_32,nn_erm,1,1,"[0.002388381166383624, 0.9970874190330505, 0.0005173654644750059, 6.881614808662562e-06]"
A01,session1,intra_session,train,pca_32,nn_erm,0,0,"[0.973946750164032, 0.02486894465982914, 0.00039394653867930174, 0.0007903468213044107]"
A01,session1,intra_session,train,pca_32,nn_erm,2,2,"[0.00010194343485636637, 5.250739377515856e-06, 0.9657520055770874, 0.03414083272218704]"
A01,session1,intra_session,train,pca_32,nn_erm,1,1,"[0.006713932380080223, 0.9928309917449951, 2.265202419948764e-05, 0.00043231036397628486]"
A01,session1,intra_session,train,pca_32,nn_erm,1,1,"[0.0008737255120649934, 0.9988222718238831, 1.0066103641293012e-05, 0.00029391582938842475]"
A01,session1,intra_session,train,pca_32,nn_erm,2,2,"[0.032417748123407364, 0.008334700018167496, 0.9501104950904846, 0.009137087501585484]"
A01,session1,intra_session,train,pca_32,nn_erm,0,0,"[0.9851300716400146, 0.004310650285333395, 0.009762939997017384, 0.0007963584503158927]"
A01,session1,intra_session,train,pca_32,nn_erm,3,3,"[1.9942036999509583e-07, 5.586813131230883e-06, 0.0007036208990029991, 0.9992905855178833]"
A01,session1,intra_session,train,pca_32,nn_erm,2,2,"[0.0004675383970607072, 0.0024373834021389484, 0.9848558306694031, 0.01223931834101677]"
A01,session1,intra_session,train,pca_32,nn_erm,2,2,"[5.525936330741388e-07, 2.868378260245663e-06, 0.9968547821044922, 0.0031417750287801027]"
A01,session1,intra_session,train,pca_32,nn_erm,2,2,"[0.000283036264590919, 1.4564276398232323e-06, 0.9808095097541809, 0.01890590414404869]"
A01,session1,intra_session,train,pca_32,nn_erm,2,2,"[0.0005949521437287331, 2.7330823286320083e-05, 0.9988366961479187, 0.0005410308949649334]"
A01,session1,intra_session,train,pca_32,nn_erm,0,0,"[0.9957574009895325, 0.0004204639117233455, 0.00325578055344522, 0.0005663144984282553]"
A01,session1,intra_session,train,pca_32,nn_erm,1,1,"[0.04111776128411293, 0.9587623476982117, 0.0001086351549020037, 1.1185194125573616e-05]"
A01,session1,intra_session,train,pca_32,nn_erm,0,0,"[0.995070219039917, 0.000376263604266569, 0.003914486151188612, 0.0006390765192918479]"
A01,session1,intra_session,train,pca_32,nn_erm,1,1,"[0.014829262159764767, 0.9848238229751587, 0.0002886018482968211, 5.837347271153703e-05]"
A01,session1,intra_session,train,pca_32,nn_erm,0,0,"[0.9953095316886902, 0.004161323886364698, 0.00023113470524549484, 0.0002980162971653044]"
A01,session1,intra_session,train,pca_32,nn_erm,0,0,"[0.9869409203529358, 0.009084753692150116, 0.0037924975622445345, 0.00018176212324760854]"
A01,session1,intra_session,train,pca_32,nn_erm,2,2,"[0.00017389850108884275, 0.00033892461215145886, 0.9836413860321045, 0.0158457700163126]"
A01,session1,intra_session,train,pca_32,nn_erm,2,2,"[0.004268665798008442, 0.0004282388254068792, 0.9825794696807861, 0.012723625637590885]"
A01,session1,intra_session,train,pca_32,nn_erm,1,1,"[0.006881944835186005, 0.9931032657623291, 7.660428309463896e-06, 7.113104857126018e-06]"
A01,session1,intra_session,train,pca_32,nn_erm,2,2,"[0.0005029005114920437, 0.0005048784078098834, 0.9979167580604553, 0.0010755029506981373]"
A01,session1,intra_session,train,pca_32,nn_erm,3,3,"[0.020819108933210373, 0.0001310131192440167, 0.007347379811108112, 0.9717025756835938]"
A01,session1,intra_session,train,pca_32,nn_erm,0,0,"[0.9919151067733765, 0.006544800940901041, 0.001466902787797153, 7.311125955311581e-05]"
A01,session1,intra_session,train,pca_32,nn_erm,3,3,"[0.0017232330283150077, 3.8044606753828702e-06, 0.028815587982535362, 0.9694573879241943]"
A01,session1,intra_session,train,pca_32,nn_erm,0,0,"[0.9821289777755737, 0.016611387953162193, 0.0005126785254105926, 0.0007469982374459505]"
A01,session1,intra_session,train,pca_32,nn_erm,0,0,"[0.9983041286468506, 0.001666596974246204, 1.3673601642949507e-05, 1.556200186314527e-05]"
A01,session1,intra_session,train,pca_32,nn_erm,1,1,"[0.0005312316352501512, 0.9953344464302063, 0.004129691515117884, 4.60004912383738e-06]"
A01,session1,intra_session,train,pca_32,nn_erm,3,3,"[0.00042916162055917084, 0.0002014946803683415, 0.018614882603287697, 0.9807544946670532]"
A01,session1,intra_session,train,pca_32,nn_erm,2,2,"[0.007400600705295801, 0.0006521304021589458, 0.9643490314483643, 0.027598204091191292]"
A01,session1,intra_session,train,pca_32,nn_erm,1,1,"[0.015708517283201218, 0.9842578172683716, 3.0080553187872283e-05, 3.5487332752381917e-06]"
A01,session1,intra_session,train,pca_32,nn_erm,3,3,"[0.0006300937966443598, 0.009417097084224224, 0.013657549396157265, 0.9762952327728271]"
A01,session1,intra_session,train,pca_32,nn_erm,2,2,"[0.0017624510219320655, 0.001933627761900425, 0.9872111082077026, 0.009092836640775204]"
A01,session1,intra_session,train,pca_32,nn_erm,3,3,"[3.3201647511305055e-06, 7.298165292013437e-05, 0.010771198198199272, 0.9891525506973267]"
A01,session1,intra_session,train,pca_32,nn_erm,2,2,"[0.00023020742810331285, 2.335447106815991e-06, 0.9953045845031738, 0.004462957847863436]"
A01,session1,intra_session,train,pca_32,nn_erm,3,3,"[0.000387040083296597, 7.303773600142449e-05, 0.0006637806072831154, 0.99887615442276]"
A01,session1,intra_session,train,pca_32,nn_erm,1,1,"[0.0069986493326723576, 0.9927071928977966, 0.0002534966042730957, 4.07467559853103e-05]"
A01,session1,intra_session,train,pca_32,nn_erm,1,1,"[0.0224715918302536, 0.9650248885154724, 0.012367481365799904, 0.0001361396280117333]"
A01,session1,intra_session,train,pca_32,nn_erm,3,3,"[0.00026777244056575, 5.385528129409067e-05, 0.0006656191544607282, 0.9990127086639404]"
A01,session1,intra_session,train,pca_32,nn_erm,0,0,"[0.9778108596801758, 0.01113574206829071, 0.007308787666261196, 0.003744638990610838]"
A01,session1,intra_session,train,pca_32,nn_erm,1,1,"[0.0029166624881327152, 0.9946103096008301, 0.0023662869352847338, 0.00010673479118850082]"
A01,session1,intra_session,train,pca_32,nn_erm,1,1,"[0.01366727240383625, 0.9851601123809814, 0.0009226156398653984, 0.0002500767877791077]"
A01,session1,intra_session,train,pca_32,nn_erm,1,1,"[0.019654802978038788, 0.9797517657279968, 0.0005812209565192461, 1.2315582353039645e-05]"
A01,session1,intra_session,train,pca_32,nn_erm,2,2,"[1.3209904636823921e-06, 3.1405940603690397e-07, 0.996746301651001, 0.0032521120738238096]"
A01,session1,intra_session,train,pca_32,nn_erm,3,3,"[0.0012198108015581965, 0.00042976747499778867, 0.004608525428920984, 0.9937418103218079]"
A01,session1,intra_session,train,pca_32,nn_erm,0,0,"[0.9983533620834351, 2.0475101337069646e-05, 0.000898109283298254, 0.0007281320868059993]"
A01,session1,intra_session,train,pca_32,nn_erm,3,3,"[0.00022334886307362467, 0.00011731344420695677, 0.0031170793808996677, 0.9965421557426453]"
A01,session1,intra_session,train,pca_32,nn_erm,0,0,"[0.9833536148071289, 0.016306091099977493, 0.0002758298651315272, 6.452428351622075e-05]"
A01,session1,intra_session,train,pca_32,nn_erm,2,2,"[0.007784753106534481, 0.0020795452874153852, 0.9885751605033875, 0.0015605383086949587]"
A01,session1,intra_session,train,pca_32,nn_erm,0,0,"[0.9879418015480042, 0.006836009211838245, 0.004021001979708672, 0.0012011651415377855]"
A01,session1,intra_session,train,pca_32,nn_erm,3,3,"[4.977686884899413e-08, 2.3762517287195806e-08, 0.00015593550051562488, 0.999843955039978]"
A01,session1,intra_session,train,pca_32,nn_erm,0,0,"[0.9862291812896729, 0.009718487970530987, 0.003531345399096608, 0.0005209792871028185]"
A01,session1,intra_session,train,pca_32,nn_erm,2,2,"[0.000748912338167429, 0.00022755307145416737, 0.9944861531257629, 0.0045374431647360325]"
A01,session1,intra_session,train,pca_32,nn_erm,0,0,"[0.9756799340248108, 0.019793832674622536, 0.004160739481449127, 0.0003654980391729623]"
A01,session1,intra_session,train,pca_32,nn_erm,1,1,"[0.009940732270479202, 0.9808316826820374, 0.0012284452095627785, 0.007999193854629993]"
A01,session1,intra_session,train,pca_32,nn_erm,2,2,"[0.00039780556107871234, 4.031985554320272e-06, 0.9890187978744507, 0.010579420253634453]"
A01,session1,intra_session,train,pca_32,nn_erm,2,2,"[2.8516484235296957e-05, 1.6047806639107876e-05, 0.9958767890930176, 0.004078635945916176]"
A01,session1,intra_session,train,pca_32,nn_erm,3,3,"[9.451306937080517e-07, 2.6847028493648395e-05, 0.0022632856853306293, 0.9977089166641235]"
A01,session1,intra_session,train,pca_32,nn_erm,0,0,"[0.9853510856628418, 0.008265946991741657, 0.005614360794425011, 0.0007686075987294316]"
A01,session1,intra_session,train,pca_32,nn_erm,1,1,"[0.012899237684905529, 0.9841048121452332, 0.0029946553986519575, 1.3066257906757528e-06]"
